,City,Country,Lat,Lng,Humidity,Hotel Name
24,laguna,US,38.421,-121.4238,36,Holiday Inn Express & Suites
55,blythe,US,33.6103,-114.5964,11,Quality Inn
101,sehwan,PK,26.4279,67.863,22,Dum Dastagir Resthouse
145,campo formoso,BR,-10.5075,-40.3214,34,Hotel Rio das Pedras
306,mar del plata,AR,-38.0023,-57.5575,77,Nuevo Ostende
346,awjilah,LY,29.1081,21.2869,44,No hotel found
421,rodolfo sanchez taboada,MX,31.7167,-116.5667,58,Estero Beach Resort
440,howrah,IN,22.5892,88.3103,88,Sun India Guest House
465,ukiah,US,39.1502,-123.2078,58,Palace Hotel
466,aoulef,DZ,26.9667,1.0833,22,دار الضياف
480,siwa oasis,EG,29.2041,25.5195,50,فندق الكيلانى
494,guerrero negro,MX,27.9769,-114.0611,23,Plaza sal paraiso
