City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.18,96,60,0.73,GS,1699738390
8,forster,-32.1667,152.5167,25.77,70,24,2.47,AU,1699738883
10,kasongo,-4.45,26.6667,20.61,90,100,0.73,CD,1699738884
14,ewo,-0.8725,14.8206,22.3,94,98,1.66,CG,1699738884
15,puerto natales,-51.7236,-72.4875,6.81,55,75,4.91,CL,1699738295
16,port-aux-francais,-49.35,70.2167,2.92,69,9,7.77,TF,1699738389
18,waitangi,-43.9535,-176.5597,13.23,79,2,4.02,NZ,1699738373
21,suva,-18.1416,178.4415,23.71,94,75,4.63,FJ,1699738543
26,saint-philippe,-21.3585,55.7679,22.77,85,28,4.47,RE,1699738411
32,broken hill,-31.95,141.4333,19.52,28,24,7.83,AU,1699738724
33,yeppoon,-23.1333,150.7333,21.88,67,90,5.14,AU,1699738887
35,madimba,-10.4,40.3333,25.57,88,56,3.59,TZ,1699738887
37,huarmey,-10.0681,-78.1522,21.94,75,17,5.86,PE,1699738888
38,masterton,-40.9597,175.6575,17.07,56,13,3.86,NZ,1699738888
41,margaret river,-33.95,115.0667,11.44,75,43,6.19,AU,1699738440
42,blackmans bay,-43.0167,147.3167,11.07,68,100,0.89,AU,1699738370
44,adamstown,-25.066,-130.1015,22.96,81,27,5.96,PN,1699738394
46,edinburgh of the seven seas,-37.0676,-12.3116,14.23,84,63,7.91,SH,1699738384
50,invercargill,-46.4,168.35,16.68,56,100,8.05,NZ,1699738290
56,christchurch,-43.5333,172.6333,21.38,60,78,2.06,NZ,1699738890
57,bredasdorp,-34.5322,20.0403,15.75,80,37,3.71,ZA,1699738409
59,chonchi,-42.6128,-73.8092,8.4,81,77,4.59,CL,1699738551
67,viedma,-40.8135,-62.9967,25.87,22,80,11.55,AR,1699738892
69,port mathurin,-19.6833,63.4167,24.92,79,9,1.74,MU,1699738367
73,lebu,-37.6167,-73.65,10.65,54,24,5.81,CL,1699738311
74,rio grande,-32.035,-52.0986,24.06,89,63,3.69,BR,1699738577
75,tolanaro,-25.0319,46.9987,22.04,68,20,5.14,MG,1699738501
82,west island,-12.1568,96.8225,25.99,83,99,4.12,CC,1699738529
84,avarua,-21.2078,-159.775,24.03,83,75,3.6,CK,1699738476
86,ushuaia,-54.8,-68.3,6.81,61,40,3.6,AR,1699738327
88,fale old settlement,-9.3852,-171.2468,28.77,74,96,3.0,TK,1699738428
90,kariba,-16.5167,28.8,26.02,49,41,3.56,ZW,1699738896
91,papatowai,-46.5619,169.4708,15.95,48,100,6.96,NZ,1699738461
95,port shepstone,-30.7414,30.455,20.54,85,100,8.35,ZA,1699738897
97,codrington,-38.2667,141.9667,14.35,53,79,6.43,AU,1699738533
99,goondiwindi,-28.55,150.3167,23.21,58,18,5.46,AU,1699738897
111,touros,-5.1989,-35.4608,25.73,75,4,5.85,BR,1699738505
116,rawson,-43.3002,-65.1023,17.53,37,97,16.53,AR,1699738900
119,port elizabeth,-33.918,25.5701,18.51,69,3,3.13,ZA,1699738404
120,east london,-33.0153,27.9116,19.05,74,62,7.47,ZA,1699738543
121,afaahiti,-17.75,-149.2833,29.93,81,80,6.05,PF,1699738499
125,nova vicosa,-17.8919,-39.3719,25.64,76,1,7.7,BR,1699738407
129,new norfolk,-42.7826,147.0587,11.72,58,96,2.81,AU,1699738480
130,port alfred,-33.5906,26.891,17.88,85,33,2.24,ZA,1699738528
132,bukama,-9.2,25.85,21.21,96,97,1.1,CD,1699738904
133,swakopmund,-22.6833,14.5333,15.66,87,99,2.69,,1699738406
138,port lincoln,-34.7333,135.8667,13.76,64,99,6.55,AU,1699738692
143,malanje,-9.5402,16.341,18.04,97,86,0.64,AO,1699738906
145,campo formoso,-10.5075,-40.3214,25.78,34,0,1.69,BR,1699738842
150,wewak,-3.5534,143.6268,26.97,84,93,2.89,PG,1699738408
157,alice springs,-23.7,133.8833,25.75,57,5,3.6,AU,1699738286
160,port macquarie,-31.4333,152.9167,24.94,69,10,5.24,AU,1699738909
171,kununurra,-15.7667,128.7333,23.99,94,40,2.57,AU,1699738690
172,cidreira,-30.1811,-50.2056,22.18,90,100,4.37,BR,1699738595
178,antofagasta,-23.65,-70.4,18.6,71,22,4.43,CL,1699738332
179,choma,-16.8065,26.9531,21.14,32,23,1.51,ZM,1699738912
180,hermanus,-34.4187,19.2345,16.23,80,65,4.09,ZA,1699738435
190,santa cruz,-17.8,-63.1667,36.7,43,20,10.29,BO,1699738796
193,vanimo,-2.6741,141.3028,26.48,89,100,2.18,PG,1699738732
196,carnarvon,-24.8667,113.6333,21.31,76,90,5.39,AU,1699738542
208,kabalo,-6.05,26.9167,20.74,97,98,0.11,CD,1699738917
224,atafu village,-8.5421,-172.5159,28.82,75,51,3.53,TK,1699738491
225,buritis,-15.6178,-46.4233,31.52,26,89,0.87,BR,1699738920
228,puerto ayora,-0.7393,-90.3518,28.98,87,78,4.02,EC,1699738411
232,necochea,-38.5473,-58.7368,17.67,64,1,0.28,AR,1699738921
233,alofi,-19.0595,-169.9187,22.94,94,100,8.75,NU,1699738540
234,andergrove,-21.0833,149.1833,24.8,61,51,6.37,AU,1699738922
237,sao felix do xingu,-6.6447,-51.995,26.99,65,91,1.34,BR,1699738634
238,walvis bay,-22.9575,14.5053,17.53,77,97,0.0,,1699738922
241,sao vicente,-23.9631,-46.3919,37.1,54,0,1.54,BR,1699738833
249,san justo,-30.7891,-60.5919,30.55,46,24,3.58,AR,1699738926
250,contamana,-7.3333,-75.0167,35.65,36,55,1.56,PE,1699738926
257,kirakira,-10.4544,161.9205,26.95,85,100,4.49,SB,1699738736
262,presidente prudente,-22.1256,-51.3889,35.75,24,0,1.03,BR,1699738929
268,san antonio de pale,-1.4014,5.6325,26.24,83,100,4.98,GQ,1699738385
270,ambodifotatra,-16.9833,49.85,25.06,79,96,9.5,MG,1699738930
271,pirapora,-17.345,-44.9419,28.02,33,62,0.94,BR,1699738930
273,tsiombe,-25.3,45.4833,20.55,68,0,6.59,MG,1699738670
275,pangai,-19.8,-174.35,23.06,88,75,8.75,TO,1699738640
277,uturoa,-16.7333,-151.4333,27.39,80,96,5.12,PF,1699738493
279,tual,-5.6667,132.75,27.87,78,83,4.32,ID,1699738594
281,salinopolis,-0.6136,-47.3561,27.51,75,9,6.43,BR,1699738705
283,la libertad,-2.2333,-80.9,24.81,78,100,3.6,EC,1699738932
293,las lomitas,-24.7096,-60.593,43.04,19,81,5.15,AR,1699738934
295,moree,-29.4667,149.85,23.49,59,5,6.08,AU,1699738934
299,gizo,-8.103,156.8419,27.58,74,100,7.25,SB,1699738935
300,bernardo de irigoyen,-26.2552,-53.6458,24.26,82,73,1.74,AR,1699738935
306,mar del plata,-38.0023,-57.5575,25.01,77,0,3.6,AR,1699738936
